Catatan Si Boy, Classics, 6.6, Indonesia
Catatan Si Boy 2, Classics, 6.5, Indonesia
Tjoet Nja Dhien, Classics, 8.0, Indonesia
An Autumn’s Tale, Classics, 7.6, China
The Killer, Classics, 7.8, China
Check Store Next Door, Drama, 7.8, Indonesia
Ada Apa Dengan Cinta, Romance, 7.7, Indonesia
Milly & Mamet, Romance, 7.3, Indonesia
All of Us Are Dead, Teen, 7.5, Korea
#Alive, Horror, 6.3, Korea
Sweet Home, Horror, 7.3, Korea
Business Proposal, Romance, 8.1, Korea
The Call, Thriller, 7.1, Korea
Tokyo Ghoul, Action, 7.7, Japan
Gudetama, Anime, 7.3, Japan
Jujutsu Kaisen, Anime, 8.6, Japan
Double World, Action, 6.1, China
A Chinesse Odyssey: Part One - Pandora’s Box, Action, 7.5, China
Marry My Dead Body, Drama, 7.1, China
The Karate Kid, Drama, 6.2, China
Bad Genius, Drama, 7.6, Thailand
Hunger, Drama, 6.6, Thailand
Bridgerton, Romance, 7.4, Europe
Queen Charlotte: A Bridgerton Story, Romance, 7.4, Europe
Peaky Blinders, Drama, 8.8, Europe
22 July, Crime, 6.8, Europe
The Takedown, Comedy, 5.8, Europe
The Gray Man, Thriller, 6.5, America
Nowhere, Thriller, 6.3, Europe
Against The Ice, Drama, 6.5, Europe
Call Me by Your Name, Drama, 7.8, Europe
How To Be Really Bad, Comedy, 6.3, Europe
Birdbox, Horror, 6.6, America
Asphalt Burning, Action, 5.2, Europe
The Two Popes, Drama, 7.6, America
Mudbound, Drama, 7.4, America
Isi & Ossi, Romance, 6.4, Europe
Je Suis Karl, Drama, 5.5, Europe
Layer Cake, Crime, 7.3, Europe
Rising High, Comedy, 6.0, Europe
Paris is Us, Drama, 4.6, Europe
I Lost My Body, Romance, 7.5, Europe
The Four of Us, Comedy, 5.3, Europe
Julie & Julia, Drama, 7.0, America
11M: Terror in Madrid, Drama, 6.8, Europe
Rumspringa, Comedy, 5.4, Europe
My Brother, My Sister, Drama, 6.0, Europe
The Binding, Horror, 4.8, Europe
The Queen’s Gambit, Drama, 8.5, America
Pitch Perfect, Musical, 7.1, America
Bohemian Rapsody, Musical, 7.9, America
Sing, Musical, 7.1, America
Trolls, Musical, 6.4, America
Trolls Holiday, Musical, 6.1, America
Trolls: The Beat Goes On!, Musical, 6.0, America
Roald Dahl’s Matilda The Musical, Musical, 7.0, America
13: The Musical, Musical, 5.3, America
Taylor Swift: Reputation Stadium Tour, Musical, 8.4, America
Miss Americana, Musical, 7.4, America
Ouija: Origin of Evil, Horror, 6.2, America
The Pope’s Exorcist, Horror, 6.1, America
The Devil On Trial, Horror, 5.6, America
The Exorcism of Emily Rose, Horror, 6.7, America
Incantation, Horror, 6.2, China
A Quiet Place Part II, Horror, 7.2, America
The Silence, Horror, 5.3, America
5 cm, Drama, 7.2, Indonesia
Check the Store Next Door: The Next Chapter, Drama, 7.9, Indonesia
Check the Store Next Door 2, Drama, 7.6, Indonesia
Three Days to Eternity, Drama, 7.0, Indonesia
Nevertheless,, Romance, 7.1, Korea
20th Century Girl, Romance, 7.3, Korea
Love Destiny: The , Romance, 6.2, Thailand
Ghost Lab, Horror, 5.2, Thailand
Happy Old Year, Romance, 7.2, Thailand
Hope Frozen, Drama, 6.6, Thailand
Sang Krasue, Horror, 6.4, Thailand
Once Upon a Star, Drama, 7.0, Thailand
